Models,Variables,Scores
"RandomForestClassifier(max_depth=7, min_samples_leaf=5, min_samples_split=15)",top 6,0.8424070709508052
"RandomForestClassifier(max_depth=7, min_samples_leaf=7, min_samples_split=15)",top 7,0.8424070709508052
"RandomForestClassifier(max_depth=7, min_samples_leaf=5, min_samples_split=10,
                       n_estimators=300)",top 8,0.8424070709508052
"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3,
                                                         min_samples_leaf=5,
                                                         min_samples_split=10),
                   learning_rate=0.01, n_estimators=500)",top 6,0.84469834510466
"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3,
                                                         min_samples_leaf=5,
                                                         min_samples_split=15),
                   learning_rate=0.1, n_estimators=300)",top 7,0.84469834510466
"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5,
                                                         min_samples_leaf=5,
                                                         min_samples_split=10),
                   learning_rate=0.1, n_estimators=100)",top 8,0.847667150616466
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, min_samples_split=10)",top 6,0.84469834510466
"DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, min_samples_split=10)",top 7,0.847667150616466
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=5, min_samples_split=10)",top 8,0.847667150616466
"GradientBoostingClassifier(learning_rate=0.01, max_depth=5, min_samples_leaf=5,
                           min_samples_split=10, n_estimators=500)",top 6,0.8424070709508052
"GradientBoostingClassifier(learning_rate=0.01, max_depth=5, min_samples_leaf=5,
                           min_samples_split=10, n_estimators=300)",top 7,0.8424070709508052
"GradientBoostingClassifier(learning_rate=0.01, max_depth=5, min_samples_leaf=5,
                           min_samples_split=10, n_estimators=300)",top 8,0.8424070709508052
